node,samplewise_robust,collective_robust,feature_norm,accuracy_samplewise,accuracy_collective,avg_test_degree,test_feature_dim,test_ntk_rank,n_test_nodes,n_test_edges
111,True,1.0,1.786419313892141,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
112,True,1.0,2.944004637762688,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
113,True,1.0,2.3544316086744583,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
114,True,1.0,4.196068969793897,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
115,True,1.0,1.27340283409394,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
116,False,1.0,1.7662635856123354,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
117,True,1.0,2.7774307884502853,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
118,True,1.0,3.1361975310415438,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
119,True,1.0,3.643856400913049,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
120,True,1.0,1.5434553285615917,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
121,True,1.0,2.4501167912519737,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
122,True,1.0,1.1152794830653185,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
123,False,0.0,2.922833323720246,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
124,True,1.0,2.9284149087525906,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
125,False,0.0,2.1036339078961963,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
126,True,1.0,1.7611749321146362,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
127,True,1.0,1.974273290821675,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
128,False,1.0,2.526859562117705,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
129,False,0.0,3.5459751707016376,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
130,True,1.0,2.7385996409076188,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
131,False,0.0,2.4087529752144854,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
132,True,1.0,1.7755019930444187,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
133,True,1.0,3.100649636425306,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
134,True,1.0,3.357932628010755,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
135,True,1.0,4.538122293160797,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
136,True,1.0,1.90842571298824,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
137,True,1.0,3.238046297866622,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
138,True,1.0,1.6432841990259348,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
139,True,1.0,3.3483305323385006,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
140,True,1.0,2.5091741962555694,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
141,True,1.0,2.48710171089706,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
142,True,1.0,3.208009993289317,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
143,True,1.0,1.9637785034052877,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
144,True,1.0,1.5679207752621234,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
145,True,1.0,1.840132369845084,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
146,False,1.0,2.4576134106001204,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
147,True,1.0,4.3103208718772015,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
148,True,1.0,2.5568778517179402,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
149,False,1.0,1.862550393377405,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
